user_id,anime_id,rating
3,20,8
3,154,6
3,170,9
3,199,10
3,225,9
3,341,6
3,430,7
3,527,7
3,552,7
3,813,10
3,1119,7
3,1121,7
3,1122,7
3,1132,8
3,1292,6
3,1313,8
3,1526,7
3,1535,10
3,1564,7
3,1689,8
3,1764,6
3,1943,8
3,2201,7
3,2404,7
3,2847,7
3,3588,8
3,4026,7
3,5114,10
3,5231,8
3,6178,7
3,6702,8
3,6880,6
3,7695,7
3,8074,6
3,9107,6
3,9135,7
3,9760,9
3,9917,8
3,9919,8
3,9989,10
3,10408,7
3,10507,8
3,11111,8
3,11703,6
3,11737,7
3,11757,9
3,11759,7
3,11771,10
3,12671,3
3,14075,8
3,14093,7
3,14345,8
3,14513,10
3,16498,10
3,16512,5
3,16782,7
3,16894,10
3,16918,8
3,17265,7
3,18097,7
3,18115,10
3,18393,7
3,19315,3
3,19815,9
3,20021,5
3,20159,10
3,20507,8
3,20583,9
3,21507,6
3,21881,7
3,22199,8
3,22297,8
3,22319,6
3,22547,6
3,22729,7
3,23301,8
3,23321,6
3,23333,4
3,23755,8
3,24415,10
3,26243,6
3,27631,8
3,27899,8
3,28121,9
3,28171,10
3,28223,6
3,28497,7
3,28701,9
3,28891,9
3,29854,6
3,30276,-1
3,30503,-1
3,31043,10
3,31859,7
10,20,-1
10,1535,-1
10,2581,-1
10,5114,10
10,9253,-1
10,11757,9
10,16498,-1
10,21881,9
12,223,8
12,225,6
12,302,9
12,392,9
12,813,9
12,853,9
12,877,9
12,1535,10
12,1562,9
12,1575,10
12,2025,9
12,2904,10
12,4182,7
12,5114,9
12,6033,9
12,6573,9
12,7338,9
12,8074,6
12,8888,9
12,9253,10
12,11757,9
12,16498,10
17,6,7
17,19,10
17,30,9
17,32,10
17,43,8
17,47,8
17,66,6
17,114,7
17,121,6
17,164,9
17,199,8
17,205,7
17,226,7
17,227,7
17,228,7
17,245,8
17,256,6
17,268,8
17,323,8
17,339,8
17,376,-1
17,413,1
17,430,6
17,431,8
17,437,9
17,468,8
17,486,9
17,543,7
17,570,8
17,578,9
17,664,5
17,756,-1
17,759,8
17,770,5
17,777,9
17,849,7
17,889,8
17,908,-1
17,932,5
17,934,9
17,949,8
17,1002,8
17,1004,5
17,1033,7
17,1056,5
17,1109,-1
17,1210,8
17,1379,8
17,1530,8
17,1535,10
17,1575,8
17,1593,-1
17,1689,9
17,1852,7
17,1889,10
17,1943,7
17,2001,10
17,2167,9
17,2175,7
17,2236,8
17,2251,9
17,2418,8
17,2476,3
17,2593,7
17,2605,7
17,2759,8
17,2832,-1
17,2899,-1
17,2904,8
17,2924,8
17,2951,-1
17,2953,-1
17,3002,9
17,3087,6
17,3165,-1
17,3167,9
17,3287,2
17,3328,-1
17,3352,-1
17,3455,7
17,3466,-1
17,3652,8
17,3759,-1
17,3782,7
17,3783,8
17,3784,9
17,3785,8
17,3901,-1
17,4059,-1
17,4081,8
17,4091,5
17,4106,8
17,4107,7
17,4181,10
17,4224,7
17,4280,7
17,4282,8
17,4382,5
17,4565,9
17,4654,8
17,4898,7
17,5040,8
17,5042,6
17,5081,8
17,5114,10
17,5177,7
17,5204,7
17,5205,8
17,5365,8
17,5415,-1
17,5667,-1
17,5680,6
17,5681,8
17,5682,6
17,5909,5
17,5947,-1
17,5955,-1
17,6064,-1
17,6114,9
17,6213,8
17,6347,7
17,6351,-1
17,6361,-1
17,6421,-1
17,6505,7
17,6547,9
17,6548,-1
17,6594,9
17,6628,-1
17,6675,8
17,6707,7
17,6746,7
17,6793,-1
17,6880,5
17,6954,6
17,7059,5
17,7311,9
17,7465,9
17,7593,6
17,7596,-1
17,7785,9
17,7791,5
17,7902,-1
17,8023,-1
17,8074,7
17,8100,7
17,8142,8
17,8187,7
17,8408,-1
17,8525,8
17,8676,8
17,8769,7
17,8795,7
17,8841,6
17,8857,-1
17,8861,5
17,8888,7
17,8937,8
17,9047,-1
17,9062,-1
17,9063,-1
17,9117,-1
17,9135,6
17,9181,8
17,9253,10
17,9479,3
17,9515,-1
17,9598,5
17,9675,-1
17,9733,-1
17,9734,-1
17,9756,9
17,9925,-1
17,9989,8
17,10020,-1
17,10067,-1
17,10080,8
17,10087,9
17,10165,9
17,10209,-1
17,10249,-1
17,10271,8
17,10396,5
17,10408,8
17,10417,4
17,10418,-1
17,10448,8
17,10470,-1
17,10477,-1
17,10491,4
17,10495,7
17,10519,-1
17,10620,7
17,10624,5
17,10711,8
17,10719,6
17,10739,-1
17,10790,7
17,10793,7
17,10805,-1
17,10863,-1
17,11111,8
17,11235,8
17,11483,-1
17,11499,7
17,11507,-1
17,11553,-1
17,11577,9
17,11583,-1
17,11597,8
17,11617,8
17,11633,7
17,11701,-1
17,11741,10
17,11743,7
17,11757,7
17,11771,9
17,11785,7
17,11809,6
17,11843,8
17,11887,7
17,11981,8
17,12029,8
17,12189,8
17,12355,9
17,12403,7
17,12467,5
17,12477,8
17,12503,-1
17,12531,9
17,12565,-1
17,12669,-1
17,12729,-1
17,12893,-1
17,13055,-1
17,13093,-1
17,13357,-1
17,13391,6
17,13411,-1
17,13429,-1
17,13469,-1
17,13601,8
17,13629,7
17,13639,5
17,13659,4
17,13663,8
17,13759,8
17,13807,-1
17,13851,-1
17,14027,-1
17,14045,5
17,14131,8
17,14349,7
17,14353,8
17,14355,5
17,14407,7
17,14513,8
17,14617,-1
17,14719,9
17,14741,7
17,14807,7
17,14813,5
17,14829,8
17,14853,6
17,14967,6
17,15037,6
17,15043,6
17,15051,8
17,15117,-1
17,15125,6
17,15197,7
17,15199,7
17,15201,7
17,15225,7
17,15437,-1
17,15451,7
17,15487,-1
17,15583,7
17,15689,8
17,15699,7
17,15809,8
17,15811,-1
17,15879,-1
17,15951,-1
17,16049,8
17,16149,5
17,16417,5
17,16498,9
17,16528,7
17,16694,-1
17,16700,6
17,16706,8
17,16726,6
17,16732,5
17,16742,6
17,16762,-1
17,16774,4
17,16782,7
17,16894,9
17,16916,-1
17,16934,-1
17,17068,-1
17,17074,9
17,17247,7
17,17265,7
17,17269,6
17,17341,-1
17,17351,-1
17,17549,9
17,17641,-1
17,17677,7
17,17679,5
17,17725,-1
17,17871,-1
17,17895,5
17,17901,-1
17,17949,-1
17,18095,6
17,18115,9
17,18121,6
17,18139,6
17,18153,5
17,18177,-1
17,18179,8
17,18245,9
17,18277,5
17,18397,-1
17,18441,-1
17,18617,9
17,18619,-1
17,18679,8
17,18713,-1
17,18851,-1
17,18857,-1
17,19023,4
17,19109,-1
17,19111,8
17,19133,6
17,19163,6
17,19165,-1
17,19221,8
17,19297,-1
17,19315,1
17,19365,5
17,19367,4
17,19369,7
17,19391,-1
17,19429,4
17,19489,7
17,19573,5
17,19669,-1
17,19685,5
17,19703,8
17,19759,-1
17,19799,7
17,19815,8
17,19855,3
17,20021,-1
17,20031,7
17,20035,-1
17,20047,6
17,20159,6
17,20365,-1
17,20391,-1
17,20449,-1
17,20457,7
17,20473,6
17,20507,8
17,20509,8
17,20541,6
17,20543,4
17,20583,8
17,20689,5
17,20709,7
17,20745,-1
17,20767,-1
17,20787,5
17,20853,7
17,20877,-1
17,20899,9
17,20903,6
17,20931,5
17,20939,-1
17,20965,6
17,20973,6
17,20977,-1
17,21067,5
17,21085,6
17,21189,6
17,21201,-1
17,21325,5
17,21327,7
17,21339,8
17,21353,3
17,21405,7
17,21415,-1
17,21421,2
17,21431,3
17,21473,7
17,21561,6
17,21603,4
17,21647,6
17,21659,-1
17,21667,-1
17,21809,6
17,21821,1
17,21843,8
17,21855,8
17,21863,7
17,21881,8
17,21995,7
17,22057,-1
17,22071,-1
17,22117,-1
17,22123,5
17,22135,10
17,22145,8
17,22147,8
17,22199,6
17,22297,9
17,22319,7
17,22335,-1
17,22535,8
17,22539,-1
17,22689,-1
17,22729,7
17,22759,-1
17,22789,8
17,22835,3
17,22847,-1
17,22865,5
17,22961,-1
17,23023,-1
17,23179,-1
17,23199,6
17,23225,8
17,23227,-1
17,23249,8
17,23251,6
17,23273,8
17,23277,8
17,23281,4
17,23283,7
17,23285,7
17,23289,8
17,23317,7
17,23321,4
17,23359,-1
17,23383,-1
17,23399,-1
17,23433,6
17,23619,-1
17,23623,8
17,23673,4
17,23697,-1
17,23735,-1
17,23755,9
17,23787,6
17,23831,-1
17,23847,7
17,23945,5
17,24031,7
17,24151,-1
17,24211,3
17,24231,6
17,24261,-1
17,24277,8
17,24365,-1
17,24415,9
17,24429,-1
17,24439,5
17,24451,-1
17,24475,-1
17,24543,8
17,24655,5
17,24695,-1
17,24703,5
17,24751,-1
17,24765,8
17,24821,-1
17,24823,-1
17,24833,8
17,24913,-1
17,24991,-1
17,24997,7
17,25011,-1
17,25015,5
17,25045,-1
17,25183,5
17,25241,-1
17,25271,-1
17,25519,8
17,25647,-1
17,25781,-1
17,25861,-1
17,25875,6
17,26023,-1
17,26055,9
17,26057,-1
17,26085,3
17,26165,6
17,26243,6
17,26349,7
17,26395,5
17,26441,5
17,27387,6
17,27503,4
17,27509,-1
17,27525,8
17,27631,6
17,27633,-1
17,27655,6
17,27775,6
17,27821,-1
17,27891,-1
17,27899,4
17,27911,5
17,27957,-1
17,28069,-1
17,28155,5
17,28171,8
17,28223,8
17,28227,-1
17,28249,7
17,28297,8
17,28405,-1
17,28423,7
17,28447,-1
17,28497,7
17,28619,4
17,28623,6
17,28677,7
17,28701,9
17,28805,9
17,28825,7
17,28861,5
17,28891,9
17,28907,7
17,28927,7
17,28999,5
17,29035,4
17,29067,5
17,29317,-1
17,29785,6
17,29786,7
17,29803,8
17,30015,8
17,30056,-1
17,30206,-1
17,30240,9
17,30276,9
17,30279,6
17,30300,-1
17,30307,7
17,30347,-1
17,30413,7
17,30445,-1
17,30503,7
17,30567,4
17,30831,8
17,30902,-1
17,31043,8
17,31056,-1
17,31138,-1
17,31149,7
17,31234,-1
17,31240,9
17,31326,-1
17,31389,-1
17,31404,5
17,31610,7
17,31645,-1
17,31704,-1
17,31772,-1
17,31798,6
17,31953,7
17,31964,8
17,32182,9
17,32188,-1
17,32215,-1
17,32282,8
17,32380,-1
17,32438,3
17,32467,-1
17,32485,-1
17,32542,7
17,32547,-1
17,32681,8
17,32729,5
17,32735,-1
17,32740,-1
17,32828,7
17,32935,9
17,32998,8
17,33091,8
17,33142,-1
17,33522,-1
17,33524,-1
17,33569,-1
17,33934,-1
17,34240,8
